id,member_id,member_name,party,state,chamber,symbol,asset_name,transaction_date,filing_date,transaction_type,amount_from,amount_to,owner_type,committee,filing_delay_days,avg_amount,sector
1,1,Nancy Pelosi,D,CA,House,WMT,Walmart Inc,2023-09-19,2023-12-20,Purchase,5000000,25000000,Self,Former Speaker,92,15000000.0,Consumer
2,1,Nancy Pelosi,D,CA,House,GE,GE Corporation,2024-06-04,2024-07-18,Purchase,5000000,25000000,Self,Former Speaker,44,15000000.0,Industrial
3,1,Nancy Pelosi,D,CA,House,PFE,Pfizer Inc,2021-10-09,2021-10-28,Sale,5000000,25000000,Self,Former Speaker,19,15000000.0,Healthcare
4,1,Nancy Pelosi,D,CA,House,BIIB,BIIB Corporation,2022-06-22,2022-07-08,Sale,5000000,25000000,Self,Former Speaker,16,15000000.0,Healthcare
5,1,Nancy Pelosi,D,CA,House,TFC,TFC Corporation,2023-05-02,2023-09-13,Purchase,5000000,25000000,Self,Former Speaker,134,15000000.0,Financial
6,1,Nancy Pelosi,D,CA,House,WFC,Wells Fargo & Company,2024-12-11,2025-01-16,Purchase,5000000,25000000,Spouse,Former Speaker,36,15000000.0,Financial
7,1,Nancy Pelosi,D,CA,House,OKE,OKE Corporation,2022-01-04,2022-01-22,Purchase,5000000,25000000,Spouse,Former Speaker,18,15000000.0,Energy
8,1,Nancy Pelosi,D,CA,House,KO,The Coca-Cola Company,2023-09-18,2024-02-20,Purchase,5000000,25000000,Self,Former Speaker,155,15000000.0,Consumer
9,1,Nancy Pelosi,D,CA,House,EOG,EOG Corporation,2024-04-23,2024-05-21,Purchase,5000000,25000000,Self,Former Speaker,28,15000000.0,Energy
10,1,Nancy Pelosi,D,CA,House,AMZN,Amazon.com Inc,2025-06-13,2025-08-29,Sale,5000000,25000000,Spouse,Former Speaker,77,15000000.0,Technology
11,1,Nancy Pelosi,D,CA,House,HON,HON Corporation,2025-02-17,2025-03-01,Sale,5000000,25000000,Self,Former Speaker,12,15000000.0,Industrial
12,1,Nancy Pelosi,D,CA,House,WMT,Walmart Inc,2025-04-15,2025-05-09,Purchase,5000000,25000000,Self,Former Speaker,24,15000000.0,Consumer
13,1,Nancy Pelosi,D,CA,House,CRM,CRM Corporation,2025-04-13,2025-06-06,Purchase,5000000,25000000,Self,Former Speaker,54,15000000.0,Technology
14,1,Nancy Pelosi,D,CA,House,PEP,PEP Corporation,2022-08-22,2022-09-14,Purchase,5000000,25000000,Self,Former Speaker,23,15000000.0,Consumer
15,1,Nancy Pelosi,D,CA,House,PSX,PSX Corporation,2024-08-20,2024-09-14,Purchase,5000000,25000000,Self,Former Speaker,25,15000000.0,Energy
16,1,Nancy Pelosi,D,CA,House,CRM,CRM Corporation,2023-11-15,2023-11-26,Purchase,5000000,25000000,Self,Former Speaker,11,15000000.0,Technology
17,1,Nancy Pelosi,D,CA,House,UNH,UnitedHealth Group Inc,2022-12-27,2023-01-13,Purchase,5000000,25000000,Self,Former Speaker,17,15000000.0,Healthcare
18,1,Nancy Pelosi,D,CA,House,EOG,EOG Corporation,2024-06-18,2024-07-09,Sale,5000000,25000000,Spouse,Former Speaker,21,15000000.0,Energy
19,1,Nancy Pelosi,D,CA,House,MS,MS Corporation,2023-05-16,2023-11-21,Purchase,5000000,25000000,Self,Former Speaker,189,15000000.0,Financial
20,2,Kevin McCarthy,R,CA,House,USB,USB Corporation,2022-09-26,2022-10-15,Sale,100000,250000,Spouse,Former Speaker,19,175000.0,Financial
21,2,Kevin McCarthy,R,CA,House,JPM,JPMorgan Chase & Co,2023-05-19,2023-06-15,Purchase,100000,250000,Child,Former Speaker,27,175000.0,Financial
22,2,Kevin McCarthy,R,CA,House,SLB,SLB Corporation,2024-07-11,2024-08-20,Sale,50000,100000,Spouse,Former Speaker,40,75000.0,Energy
23,2,Kevin McCarthy,R,CA,House,ORCL,ORCL Corporation,2025-07-01,2025-07-28,Purchase,50000,100000,Spouse,Former Speaker,27,75000.0,Technology
24,2,Kevin McCarthy,R,CA,House,PNC,PNC Corporation,2021-12-19,2022-01-03,Purchase,100000,250000,Spouse,Former Speaker,15,175000.0,Financial
25,3,Hakeem Jeffries,D,NY,House,GS,GS Corporation,2023-01-27,2023-03-07,Purchase,15000,50000,Spouse,Minority Leader,39,32500.0,Financial
26,3,Hakeem Jeffries,D,NY,House,MCD,MCD Corporation,2021-11-02,2021-12-25,Purchase,15000,50000,Spouse,Minority Leader,53,32500.0,Consumer
27,4,Steve Scalise,R,LA,House,VLO,VLO Corporation,2023-11-29,2024-01-07,Purchase,15000,50000,Spouse,Majority Leader,39,32500.0,Energy
28,4,Steve Scalise,R,LA,House,EOG,EOG Corporation,2023-07-13,2023-12-23,Purchase,15000,50000,Self,Majority Leader,163,32500.0,Energy
29,4,Steve Scalise,R,LA,House,TSLA,Tesla Inc,2024-02-17,2024-03-03,Sale,1000,15000,Self,Majority Leader,15,8000.0,Technology
30,4,Steve Scalise,R,LA,House,CAT,Caterpillar Inc,2023-07-09,2023-08-07,Sale,15000,50000,Spouse,Majority Leader,29,32500.0,Industrial
31,4,Steve Scalise,R,LA,House,KMI,KMI Corporation,2024-06-03,2024-07-16,Purchase,15000,50000,Self,Majority Leader,43,32500.0,Energy
32,4,Steve Scalise,R,LA,House,CAT,Caterpillar Inc,2024-02-03,2024-03-11,Sale,15000,50000,Self,Majority Leader,37,32500.0,Industrial
33,4,Steve Scalise,R,LA,House,AMGN,AMGN Corporation,2021-08-09,2021-09-18,Purchase,15000,50000,Spouse,Majority Leader,40,32500.0,Healthcare
34,5,Josh Gottheimer,D,NJ,House,WFC,Wells Fargo & Company,2023-02-06,2023-03-25,Purchase,1000000,5000000,Self,Financial Services,47,3000000.0,Financial
35,5,Josh Gottheimer,D,NJ,House,WFC,Wells Fargo & Company,2025-03-20,2025-04-10,Sale,250000,500000,Spouse,Financial Services,21,375000.0,Financial
36,5,Josh Gottheimer,D,NJ,House,C,C Corporation,2022-08-29,2022-09-27,Sale,250000,500000,Self,Financial Services,29,375000.0,Financial
37,5,Josh Gottheimer,D,NJ,House,BAC,Bank of America Corp,2023-01-25,2023-02-12,Purchase,500000,1000000,Self,Financial Services,18,750000.0,Financial
38,5,Josh Gottheimer,D,NJ,House,USB,USB Corporation,2025-06-11,2025-06-23,Purchase,1000000,5000000,Spouse,Financial Services,12,3000000.0,Financial
39,5,Josh Gottheimer,D,NJ,House,JPM,JPMorgan Chase & Co,2024-05-09,2024-06-15,Purchase,500000,1000000,Self,Financial Services,37,750000.0,Financial
40,5,Josh Gottheimer,D,NJ,House,GS,GS Corporation,2023-05-03,2023-05-13,Sale,1000000,5000000,Self,Financial Services,10,3000000.0,Financial
41,5,Josh Gottheimer,D,NJ,House,C,C Corporation,2025-02-11,2025-03-07,Sale,500000,1000000,Self,Financial Services,24,750000.0,Financial
42,5,Josh Gottheimer,D,NJ,House,WMT,Walmart Inc,2023-12-18,2023-12-29,Purchase,500000,1000000,Self,Financial Services,11,750000.0,Consumer
43,6,Dan Crenshaw,R,TX,House,CRM,CRM Corporation,2023-10-21,2023-11-02,Sale,100000,250000,Self,Energy & Commerce,12,175000.0,Technology
44,6,Dan Crenshaw,R,TX,House,NVDA,NVIDIA Corporation,2025-04-20,2025-05-06,Purchase,50000,100000,Spouse,Energy & Commerce,16,75000.0,Technology
45,6,Dan Crenshaw,R,TX,House,DE,DE Corporation,2023-04-21,2023-05-10,Purchase,100000,250000,Self,Energy & Commerce,19,175000.0,Industrial
46,6,Dan Crenshaw,R,TX,House,ADBE,ADBE Corporation,2025-05-17,2025-06-14,Sale,100000,250000,Self,Energy & Commerce,28,175000.0,Technology
47,6,Dan Crenshaw,R,TX,House,GILD,GILD Corporation,2022-04-03,2022-04-29,Purchase,250000,500000,Self,Energy & Commerce,26,375000.0,Healthcare
48,6,Dan Crenshaw,R,TX,House,EOG,EOG Corporation,2025-03-10,2025-05-11,Sale,100000,250000,Self,Energy & Commerce,62,175000.0,Energy
49,6,Dan Crenshaw,R,TX,House,PG,The Procter & Gamble Company,2022-12-30,2023-02-12,Sale,100000,250000,Self,Energy & Commerce,44,175000.0,Consumer
50,6,Dan Crenshaw,R,TX,House,DE,DE Corporation,2022-11-20,2022-12-30,Purchase,100000,250000,Self,Energy & Commerce,40,175000.0,Industrial
51,6,Dan Crenshaw,R,TX,House,AAPL,Apple Inc,2025-03-07,2025-04-07,Purchase,100000,250000,Self,Energy & Commerce,31,175000.0,Technology
52,6,Dan Crenshaw,R,TX,House,COP,COP Corporation,2022-01-25,2022-03-03,Purchase,250000,500000,Self,Energy & Commerce,37,375000.0,Energy
53,6,Dan Crenshaw,R,TX,House,LOW,LOW Corporation,2025-06-11,2025-07-08,Purchase,100000,250000,Spouse,Energy & Commerce,27,175000.0,Consumer
54,6,Dan Crenshaw,R,TX,House,OKE,OKE Corporation,2022-04-30,2022-10-30,Purchase,50000,100000,Self,Energy & Commerce,183,75000.0,Energy
55,6,Dan Crenshaw,R,TX,House,MS,MS Corporation,2023-04-08,2023-05-17,Purchase,50000,100000,Self,Energy & Commerce,39,75000.0,Financial
56,8,Marjorie Taylor Greene,R,GA,House,DHR,DHR Corporation,2022-03-30,2022-04-18,Sale,1000000,5000000,Self,Oversight,19,3000000.0,Healthcare
57,8,Marjorie Taylor Greene,R,GA,House,BA,The Boeing Company,2023-02-24,2023-04-24,Purchase,1000000,5000000,Self,Oversight,59,3000000.0,Industrial
58,8,Marjorie Taylor Greene,R,GA,House,BMY,BMY Corporation,2023-11-22,2023-12-05,Sale,1000000,5000000,Self,Oversight,13,3000000.0,Healthcare
59,8,Marjorie Taylor Greene,R,GA,House,KO,The Coca-Cola Company,2025-05-24,2025-06-13,Purchase,1000000,5000000,Self,Oversight,20,3000000.0,Consumer
60,8,Marjorie Taylor Greene,R,GA,House,PEP,PEP Corporation,2022-04-25,2022-05-29,Sale,1000000,5000000,Self,Oversight,34,3000000.0,Consumer
61,8,Marjorie Taylor Greene,R,GA,House,MSFT,Microsoft Corporation,2022-07-04,2022-07-30,Purchase,5000000,25000000,Self,Oversight,26,15000000.0,Technology
62,8,Marjorie Taylor Greene,R,GA,House,C,C Corporation,2022-03-07,2022-05-10,Sale,5000000,25000000,Self,Oversight,64,15000000.0,Financial
63,8,Marjorie Taylor Greene,R,GA,House,HD,The Home Depot Inc,2024-07-06,2024-07-24,Sale,1000000,5000000,Self,Oversight,18,3000000.0,Consumer
64,8,Marjorie Taylor Greene,R,GA,House,PNC,PNC Corporation,2024-09-25,2024-11-01,Purchase,1000000,5000000,Self,Oversight,37,3000000.0,Financial
65,8,Marjorie Taylor Greene,R,GA,House,ORCL,ORCL Corporation,2023-05-02,2023-06-08,Purchase,1000000,5000000,Self,Oversight,37,3000000.0,Technology
66,8,Marjorie Taylor Greene,R,GA,House,OKE,OKE Corporation,2021-08-09,2021-08-19,Purchase,1000000,5000000,Spouse,Oversight,10,3000000.0,Energy
67,8,Marjorie Taylor Greene,R,GA,House,MS,MS Corporation,2022-10-19,2022-11-24,Sale,1000000,5000000,Self,Oversight,36,3000000.0,Financial
68,8,Marjorie Taylor Greene,R,GA,House,EOG,EOG Corporation,2022-04-11,2022-04-25,Sale,1000000,5000000,Spouse,Oversight,14,3000000.0,Energy
69,9,Matt Gaetz,R,FL,House,PNC,PNC Corporation,2022-04-06,2022-05-14,Purchase,50000,100000,Self,Judiciary,38,75000.0,Financial
70,9,Matt Gaetz,R,FL,House,AMGN,AMGN Corporation,2024-07-23,2024-10-08,Sale,15000,50000,Self,Judiciary,77,32500.0,Healthcare
71,9,Matt Gaetz,R,FL,House,BIIB,BIIB Corporation,2023-05-18,2023-06-11,Purchase,15000,50000,Self,Judiciary,24,32500.0,Healthcare
